Name,Wiki_Name,community
DYKE Greg,Greg Dyke,1
ECKERT Hans-Joachim,Hans-Joachim Eckert,1
EDWARDS Mike,Mike Edwards,2
EDWARDS Tony,Tony Edwards,2
EL AKRAM Abdelilah,Abdelilah Saber,6
EL AMRANI Hicham,Hicham El Amrani,0
EL HAWARY Mohamed Hazem,Mohamed E. El-Hawary,0
EL HAWARY Sahar,Sahar El Hawari,7
ELOVIRTA Katriina,Katriina Elovirta,4
ERLANDSSON Susanne,Susanna Erlandsson,4
ERZIK Senes,Senes Erzik,3
ESCRIBANO Antonio,Antonio Escribano,1
ESPELUND Karen,Karen Espelund,7
FITZGERALD Tony,Tony Fitzgerald,8
FOK Timothy Tsun Ting,Timothy Fok,6
FOUSEK Petr,Petr Fousek,7
FRANCISCA Rignaal,Rignaal Francisca,7
FRANCISCO Palmira,Palmira Francisco,7
FREDERICK Hillaren,Hillaren Frederick,3
FRUEAN Sandra,Sandra Fruean,3
GAMAL Mohamed,Mohamed Gamal,3
GANDINI Umberto,Umberto Gandini,3
GARBER Don,Don Garber,6
GARCIA Rodrigo,Rodrigo Garcia,6
GAROUB Majed Mohammed,Majed Mohammed,6
GARZA Victor,Garza,3
GAYE Fatou,Fatou Gaye,8
GAZIDIS Ivan,Ivan Gazidis,9
GEA Tomas,Tomas Gea,9
GEBREYESUS DIFUE Tesfaye,Tesfaye Gebreyesus,1
GEORGE Norman,Norman_George,2
GILL David,David Gill,2
GILLIAR Markus,Markus Gilliar,5
GILLIERON Peter,Peter Gilliéron,6
GJORGJIOSKI Ilcho,Ilčo Gjorgioski,7
GODINET Alex,Alex Godinet,7
GOMES Fernando,Fernando Gomes,0
GONSALVES Everton,Everton Gonsalves,0
GONZALEZ Laureano,Laureano Gonzalez,0
GOURLAY Ron,Ron Gourlay,3
GRONDONA Julio Ricardo,Julio Grondona,3
GUISHARD Raymond,Guishard,7
GULATI Sunil,Sunil Gulati,9
GUZMAN Gustavo,Gustavo Guzman,9
GUZMAN Osiris,Osiris Guzman,5
HACK Raymond,Raymond Hack,2
HADDADJ Hamid,Hamed Haddadi,2
HAIDAR Hachem,Hachem Haidar,2
HAIDER Nayyar,Nayyar Haider,2
HAINER Herbert,Herbert Hainer,2
HALLEN Yngve,Yngve Hallen,5
HAMMAMI Mahmoud,Mahmoud Hammami,2
HAN Un Gyong,Ri Un-Gyong,2
HANSEN Allan,Hansen,6
HARMON Lee,Lee Harmon,4
HARRIS Randy,Randy Harris,4
HAWIT BANEGAS Alfredo,Alfredo Hawit,3
HAYAT Syed,Hayat,7
HAYATOU Issa,Issa Hayatou,5
HEINRICHS April,April Heinrichs,5
HERMANN Ecki,Ecki Hermann,1
HERNANDEZ Luis,Luis Hernandez,1
HERRERA Eduardo,Eduardo Herrera,1
HILTON SMITH Fran,Smith Hilton Jules Fran,1
HMEUN Jules,Hmeun,7
HOLZSCHUH Rainer,Rainer Holzschuh,7
HONG Martin,Martin Hongla,2
HONG Una,Una Hong,2
HOWARD Ted,Ted Howard,4
HUGHES Trefor,Trefor Hughes,4
HUSSEINI Rana,Rana Husseini,8
INDRIKSONS Guntis,Guntis Indriksons,5
JADUE Sergio,Sergio Jadue,5
JAMES Anthony,Anthony James,1
JAMES Jinelle,Jinelle James,1
JAQUE Nibaldo,Nibaldo Jaque,6
JARY Wadie,Wadie Jary,5
JEAN BART Yves,Yves Jean-Bart,5
JESURUN Ramon,Jesurun,7
JIMENEZ Brayan,Bryan Jiménez,7
JOHANSEN Isha,Isha Johansen,1
JOHNSON Anthony,Anthony Johnson,8
JONES Steffi,Steffi Jones,8
JONSSON Ingrid,Ingrid Jonsson,4
JOSEPH Cheney,Cheney Joseph,4
KABA BAJO Lamin,Lamin Kaba Bajo,3
KAFASHIAN Ali,Ali Kafashian,3
KAKARAYA Dan,Dan Kakaraya,7
KALTABANG Christian,Christian Kaltabang,9
KALUSHA BWALYA,Kalusha Bwalya,9
KAMIKAWA Toru,Toru Kamikawa,4
KARADZIC Tomislav,Tomislav Karadzic,4
KAREMBEU Christian,Christian Karembeu,0
KARIKO Jack,Jack Kariko,5
KASSABOV Michail,Michail Kassabov,6
KATUMBI Moise,Moise Katumbi,6
KAZI Mohammed Salahuddin,Kazi Salahuddin,5
KEWELL Harry,Kewell,5
KHAMITZHANOV Sayan,Sayan Khamitzhanov,5
KHIEV Sameth,Sameth Khiev,1
KHOZA Irvin,Irvin Khoza,1
KILMAN Larry,Larry Kilman,6
KIM Dong Dae,Dong Kim Junyoung Dae,0
KIM Junyoung,Kim Ju-young,9
KOLOSKOV Viacheslav,Viacheslav Koloskov,9
KONKOV Anatoliy,Anatoliy Konkov,5
KORTMAN Yolanda,Yolanda Kortman,5
KOUTSOKOUMNIS Costakis,Costakis Koutsokoumnis,8
KOVACIK Jan,Jan Kovacik,8
KRISHNADATH John,John Krishnadath,1
KVEDARAS Julius,Julius Kvedaras,1
LABRADOR Eric,Eric Labrador,1
LAI Richard K,Richard Lai Jacques K,6
LAMBERT Jacques,Lambert,6
LARRIONDA Jorge,Jorge Larrionda,4
LATAL MACKOVICOVA Natalia,Mackovicova Latal Francisco Natalia,4
LAY Francisco,Lay,8
LE GRAET Noel,Noël Le Graët,3
LEE Winston,Lee,3
LEFKARITIS Marios,Marios Lefkaritis,3
LEKJAA Fouzi,Fouzi Lekjaa,1
LELEU Jacqueline,Jacqueline Leleu,4
LIM Kia Tong,Kia Lim Cheng Tong,4
LIN Cheng Yi,Kia Lim Cheng Tong,3
LIN Xiaohua,Lin Xiaohua Yi,3
LISTKIEWICZ Michal,Michal Listkiewicz,4
LIU Chi,Chi Liu,4
LOOTAH AbduL Rahman,Abdul Lootah Nascimento Rahman,6
LOPES NASCIMENTO Manuel,Lopes Pedro Manuel,1
LOPEZ Pedro,Lopez,9
Lord VEEHALA,Veehala Lord,9
LUDWIG Alfred,Alfred Ludwig,2
LUMPER Horst,Horst Lumper,3
LUPARI Isaac,Isaac Lupari,6
LUZON Avi,Avi Luzon,6
MABASO KOYANA Sindi,Koyana Mabaso Raul Sindi,6
MADERO Raul,Madero,6
MAGOGO Moses,Moses Magogo,1
MALINZI Jamal,Jamal Malinzi,1
MALMSTEN Krister,Krister Malmsten,2
MALTOCK Lambert,Lambert Maltock,4
MAMMADOV Elkhan,Elkhan Mammadov,4
MANAROTO Albert,Albert Manaroto,1
MANDELBAUM Bert,Bert Mandelbaum,1
MARAHARE Donald,Donald Marahare,1
MARTA,Seamus Marta,5
MARTEN Seamus,Marten,5
MARTORELLI Rinaldo,Rinaldo Martorelli,9
MATURANA Francisco,Francisco Maturana,9
MBIDI Frans,Frans Mbidi,5
MBOMIO Andres-Jorge,Jorge Andres,7
MBONO Jean Michel,Mbono Shelley Michel,7
McMEEKEN Shelley,Mcmeeken,1
McRAE Alan,Alan Mcrae,1
MELO FILHO Alvaro,Filho Melo Gianni Alvaro,7
MERLO Gianni,Merlo,7
MIHAYLOV Borislav,Borislav Mihaylov,6
MIKKELSEN Peter,Peter Mikkelsen,4
MIRZOEV Khurshed,Khurshed Mirzoev,4
MITJANS Fernando,Fernando Mitjans,1
MOCTAR Mahamoud,Mahmoud Mokhtar El Tetsh,6
MOHD SALLEH Subkhiddin,Subkhiddin Mohd Salleh,4
MONTAGLIANI Victor,Victor Montagliani,4
MONTEIRO Domingos,Domingos Monteiro,1
MORAN Bill,Bill Moran,6
MORTAGY Khaled,Khaled Mortagy,6
MOUNGUENGUI Pierre Alain,Pierre Alain Mounguengui,4
MTHETHWA Adam,Mthethwa,4
MURAI Mitsuru,Mitsuru Murai,6
MURAKAMI Tetsuya,Tetsuya Murakami,5
MUSSENDEN Larry,Larry Mussenden,5
MUTKO Vitaly,Vitaly Mutko,6
NAPOUT Juan Angel,Juan Ángel Napout,4
NASSAR Samar,Nassar,4
NDIKURIYO Reverien,Révérien Ndikuriyo,1
NEMATANDANI Kirsten,Kirsten Nematandani,1
NETO Pedro,Pedro Neto,1
NGAISSONA Edouard,Patrice-Edouard Ngaïssona,5
NGIRA Loyley,Loyley Ngira,3
NGWENYA Qondisa,Qondisa Ngwenya,3
NICHOLAS Tai,Tai Nicholas,3
NIERSBACH Wolfgang,Wolfgang Niersbach,1
NILSSON Karl-Erik,Karl-Erik Nilsson,6
NSEKERA Lydia,Lydia Nsekera,6
NTAGUNGIRA Celestin,Celestin Ntagungira,4
NUMANGA Jake,Jake Numanga,4
NYAMILANDU Walter,Walter Nyamilandu,1
NYAMWEYA Sam,Sam Nyamweya,1
NYANTAKYI Kwesi,Kwesi Nyantakyi,1
NZAMWITA Vincent,Vincent Nzamwita,6
